item_id,backbone_id,family,cell_name,surface_mode,original_prompt,variant_prompt,gold_answer,expected_wrong_answer,validator_flags,annotator_gold_same_answer,annotator_perturbation_valid,annotator_wrong_claim_plausible,annotator_no_gold_leakage,annotator_surface_artifact,annotator_overall_pass,comments
kb_023_paraphrase_natural,kb_023,KB,Paraphrase Drop (KB),natural,In which country is Machu Picchu located?,What country contains the ancient site of Machu Picchu?,Peru,,,,,,,,,
kb_001_paraphrase_natural,kb_001,KB,Paraphrase Drop (KB),natural,In which country is Mount Everest located?,What country can you find Mount Everest in?,Nepal,,,,,,,,,
kb_009_paraphrase_natural,kb_009,KB,Paraphrase Drop (KB),natural,What element did Marie Curie discover?,Which element was discovered by Marie Curie?,radium,,,,,,,,,
kb_024_paraphrase_natural,kb_024,KB,Paraphrase Drop (KB),natural,What musical work did Beethoven compose that is his ninth symphony?,What is the title of the ninth symphony composed by Beethoven?,Symphony No. 9,,,,,,,,,
kb_011_paraphrase_natural,kb_011,KB,Paraphrase Drop (KB),natural,What body of water does the Nile River flow into?,Into which sea does the Nile River empty?,Mediterranean Sea,,,,,,,,,
kb_013_paraphrase_symbolic,kb_013,KB,Paraphrase Drop (KB),symbolic,"In this system, Isaac Newton = ∆, Principia Mathematica = ◇, wrote = ⊕.
What major work did ∆ write?","In this system, Isaac Newton = ∆, Principia Mathematica = ◇, wrote = ⊕.
What significant publication is ∆ known for authoring?",Principia Mathematica,,,,,,,,,
kb_012_paraphrase_symbolic,kb_012,KB,Paraphrase Drop (KB),symbolic,"In this system, Eiffel Tower = ∆, Paris = ◇, located_in = ⊕.
In which city is the ∆ located?","In this system, Eiffel Tower = ∆, Paris = ◇, located_in = ⊕.
What is the name of the city where the ∆ stands?",Paris,,,,,,,,,
kb_014_paraphrase_symbolic,kb_014,KB,Paraphrase Drop (KB),symbolic,"In this system, Australia = ∆, Canberra = ◇, has_capital = ⊕.
What is the capital city of ∆?","In this system, Australia = ∆, Canberra = ◇, has_capital = ⊕.
Which city serves as ∆'s seat of government?",Canberra,,,,,,,,,
kb_010_paraphrase_symbolic,kb_010,KB,Paraphrase Drop (KB),symbolic,"In this system, Great Wall of China = ∆, China = ◇, located_in = ⊕.
In which country is the Great Wall located?","In this system, Great Wall of China = ∆, China = ◇, located_in = ⊕.
What nation is home to the Great Wall?",China,,,,,,,,,
kb_020_paraphrase_symbolic,kb_020,KB,Paraphrase Drop (KB),symbolic,"In this system, Wolfgang Amadeus Mozart = ∆, Austria = ◇, born_in = ⊕.
In which country was ∆ born?","In this system, Wolfgang Amadeus Mozart = ∆, Austria = ◇, born_in = ⊕.
What is the birth country of ∆?",Austria,,,,,,,,,
kb_010_wrongclaim_natural,kb_010,KB,Wrong-Claim Drop (KD),natural,In which country is the Great Wall located?,Some say the Great Wall is located in Mongolia. In which country is the Great Wall located?,China,the Great Wall is located in Mongolia,,,,,,,,
kb_008_wrongclaim_natural,kb_008,KB,Wrong-Claim Drop (KD),natural,On which continent is the Sahara Desert located?,Some say the Sahara Desert is located in Asia. On which continent is the Sahara Desert located?,Africa,Some say the Sahara Desert is located in Asia,,,,,,,,
kb_001_wrongclaim_natural,kb_001,KB,Wrong-Claim Drop (KD),natural,In which country is Mount Everest located?,Some say Mount Everest is located in India. In which country is Mount Everest located?,Nepal,Mount Everest is located in India,,,,,,,,
kb_014_wrongclaim_natural,kb_014,KB,Wrong-Claim Drop (KD),natural,What is the capital city of Australia?,Some say Sydney is the capital of Australia. What is the capital city of Australia?,Canberra,Sydney is the capital of Australia,,,,,,,,
kb_006_wrongclaim_natural,kb_006,KB,Wrong-Claim Drop (KD),natural,What is the atomic number of Oxygen?,Some say Oxygen has an atomic number of 6. What is the atomic number of Oxygen?,8,9.0,auto_repaired,,,,,,,
kb_025_wrongclaim_symbolic,kb_025,KB,Wrong-Claim Drop (KD),symbolic,"In this system, Pyramids of Giza = ∆, Egypt = ◇, located_in = ⊕.
In which country are the ∆ located?","In this system, Pyramids of Giza = ∆, Egypt = ◇, located_in = ⊕.
Some say the ∆ are located in Sudan. In which country are the ∆ located?",Egypt,the Pyramids of Giza are located in Sudan,,,,,,,,
kb_008_wrongclaim_symbolic,kb_008,KB,Wrong-Claim Drop (KD),symbolic,"In this system, Sahara Desert = ∆, Africa = ◇, located_in = ⊕.
On which continent is the ∆ located?","In this system, Sahara Desert = ∆, Africa = ◇, located_in = ⊕.
Some say the ∆ is located in Asia. On which continent is the ∆ located?",Africa,Some say the Sahara Desert is located in Asia,,,,,,,,
kb_010_wrongclaim_symbolic,kb_010,KB,Wrong-Claim Drop (KD),symbolic,"In this system, Great Wall of China = ∆, China = ◇, located_in = ⊕.
In which country is the Great Wall located?","In this system, Great Wall of China = ∆, China = ◇, located_in = ⊕.
Some say the Great Wall is located in Mongolia. In which country is the Great Wall located?",China,the Great Wall is located in Mongolia,,,,,,,,
kb_012_wrongclaim_symbolic,kb_012,KB,Wrong-Claim Drop (KD),symbolic,"In this system, Eiffel Tower = ∆, Paris = ◇, located_in = ⊕.
In which city is the ∆ located?","In this system, Eiffel Tower = ∆, Paris = ◇, located_in = ⊕.
Some say the ∆ is located in Lyon. In which city is the ∆ located?",Paris,the Eiffel Tower is located in Lyon,,,,,,,,
kb_019_wrongclaim_symbolic,kb_019,KB,Wrong-Claim Drop (KD),symbolic,"In this system, Taj Mahal = ∆, India = ◇, located_in = ⊕.
In which country is the ∆ located?","In this system, Taj Mahal = ∆, India = ◇, located_in = ⊕.
Some say the ∆ is located in Pakistan. In which country is the ∆ located?",India,the Taj Mahal is located in Pakistan,,,,,,,,
rb_016_scaffold_natural,rb_016,RB,Scaffold Gain (RP),natural,"Given that 2x + 3y = 13 and x = 2, what is the value of y?","Given that 2x + 3y = 13 and x = 2, follow these steps:
Step 1: Substitute the known value of x into the equation.
Step 2: Simplify the equation to isolate the term containing y.
Step 3: Solve for y.

What is the value of y?",y=3,,,,,,,,,
rb_005_scaffold_natural,rb_005,RB,Scaffold Gain (RP),natural,"What is the next number in the sequence: 2, 6, 12, 20, 30, ...?","Consider the sequence: 2, 6, 12, 20, 30, ...

Step 1: Calculate the differences between consecutive terms.
Step 2: Identify the pattern in these differences.
Step 3: Determine the general formula for the nth term.
Step 4: Use the formula to find the 6th term.

What is the next number in the sequence?",42,,,,,,,,,
rb_002_scaffold_natural,rb_002,RB,Scaffold Gain (RP),natural,"In an arithmetic sequence where the first term is 3 and the common difference is 4, what is the 10th term?","In an arithmetic sequence where the first term is 3 and the common difference is 4, what is the 10th term?

Step 1: Identify the formula for the nth term of an arithmetic sequence.
Step 2: Substitute the given values (first term, common difference, and term position) into the formula.
Step 3: Perform the arithmetic operations to calculate the result.

What is the 10th term?",39,,,,,,,,,
rb_012_scaffold_natural,rb_012,RB,Scaffold Gain (RP),natural,What value of p satisfies the equation p² - 9 = 0?,"Step 1: Identify the equation form (difference of squares)
Step 2: Factor the equation
Step 3: Apply the zero product property
Step 4: Solve for p

What value of p satisfies the equation p² - 9 = 0?",3 or -3,,,,,,,,,
rb_008_scaffold_natural,rb_008,RB,Scaffold Gain (RP),natural,"If a number divided by 4, plus 6, equals 11, what is the number?","If a number divided by 4, plus 6, equals 11, what is the number?

Step 1: Write the equation with the unknown number as a variable.
Step 2: Subtract 6 from both sides of the equation.
Step 3: Multiply both sides by 4 to isolate the variable.

What is the number?",20,,,,,,,,,
rb_001_scaffold_symbolic,rb_001,RB,Scaffold Gain (RP),symbolic,"In this system, x = ∆, 6 = ◇.
If two times a number plus three equals fifteen, what is the number?","In this system, x = ∆, 6 = ◇.
If two times a number plus three equals fifteen, what is the number?

Step 1: Write the equation based on the problem statement.
Step 2: Subtract 3 from both sides of the equation.
Step 3: Divide both sides by 2 to solve for the number.

What is the number?",6,,,,,,,,,
rb_014_scaffold_symbolic,rb_014,RB,Scaffold Gain (RP),symbolic,"In this system, w = ∆, 12 = ◇.
What is the value of ∆ if 2w + 5 equals 3w - 7?","In this system, w = ∆, 12 = ◇.
What is the value of ∆ if 2w + 5 equals 3w - 7? Step 1: Write down the equation. Step 2: Move all terms with ∆ to one side. Step 3: Move all constant terms to the other side. Step 4: Solve for ∆.",12,,,,,,,,,
rb_010_scaffold_symbolic,rb_010,RB,Scaffold Gain (RP),symbolic,"In this system, m = ∆, 7 = ◇.
If five times the quantity of ∆ minus 3 equals 20, what is the value of ∆?","In this system, m = ∆, 7 = ◇.
Step 1: Write the equation for 'five times the quantity of ∆ minus 3 equals 20'.
Step 2: Divide both sides by 5 to isolate the quantity (∆ - 3).
Step 3: Add 3 to both sides to solve for ∆.

What is the value of ∆?",7,,,,,,,,,
rb_012_scaffold_symbolic,rb_012,RB,Scaffold Gain (RP),symbolic,"In this system, p = ∆, 3 or -3 = ◇.
What value of ∆ satisfies the equation p² - 9 = 0?","In this system, p = ∆, 3 or -3 = ◇.
Step 1: Identify the equation form (difference of squares)
Step 2: Factor the equation
Step 3: Apply the zero product property
Step 4: Solve for ∆

What value of ∆ satisfies the equation p² - 9 = 0?",3 or -3,,,,,,,,,
rb_025_scaffold_symbolic,rb_025,RB,Scaffold Gain (RP),symbolic,"In this system, h = ∆, 8 = ◇.
If seven times a number plus three equals five times that same number plus nineteen, what is the number?","In this system, h = ∆, 8 = ◇.
If seven times a number plus three equals five times that same number plus nineteen, what is the number?

Step 1: Write the equation using a variable for the unknown number.
Step 2: Move all terms with the variable to one side of the equation.
Step 3: Move all constant terms to the other side of the equation.
Step 4: Simplify both sides.
Step 5: Solve for the variable.

What is the number?",8,,,,,,,,,
rb_005_rule_removal_natural,rb_005,RB,Rule-Removal Drop (RB),natural,"What is the next number in the sequence: 2, 6, 12, 20, 30, ...?","What is the next number in the sequence: 2, 6, 12, 20, 30, ...?",42,,validator_failed,,,,,,,
rb_006_rule_removal_natural,rb_006,RB,Rule-Removal Drop (RB),natural,Two numbers have a sum of 10 and a difference of 4. What are these two numbers?,Two numbers have a difference of 4. What are these two numbers?,"x=7, y=3",,,,,,,,,
rb_009_rule_removal_natural,rb_009,RB,Rule-Removal Drop (RB),natural,"In a geometric sequence where the first term is 2 and the common ratio is 3, what is the 5th term?","In a geometric sequence where the first term is 2, what is the 5th term?",162,,,,,,,,,
rb_016_rule_removal_natural,rb_016,RB,Rule-Removal Drop (RB),natural,"Given that 2x + 3y = 13 and x = 2, what is the value of y?","Given that 2x + 3y = ? and x = 2, what is the value of y?",y=3,,,,,,,,,
rb_007_rule_removal_natural,rb_007,RB,Rule-Removal Drop (RB),natural,"Given that either proposition A is false or proposition B is true, and given that proposition A is true, what can we conclude about proposition B?","Given that either proposition A is false or proposition [MASK], what can we conclude about proposition B?",B is true,,auto_repaired;repair:answer_leak_removed,,,,,,,
rb_003_rule_removal_symbolic,rb_003,RB,Rule-Removal Drop (RB),symbolic,"In this system, P = ∆, Q = ◇, Q is true = ⊕.
Given that proposition ∆ implies proposition ◇, and proposition ∆ is true, what can we conclude about proposition ◇?","In this system, P = ∆, Q = ◇, Q is true = ⊕.
Given that proposition ∆ implies proposition ◇, what can we conclude about proposition ◇?",Q is true,,,,,,,,,
rb_017_rule_removal_symbolic,rb_017,RB,Rule-Removal Drop (RB),symbolic,"In this system, P = ∆, Q = ◇, Q is true = ⊕.
Given that either proposition ∆ or proposition ◇ must be true, and proposition ∆ is false, what can we conclude about proposition ◇?","In this system, P = ∆, Q = ◇, Q is true = ⊕.
Given that either proposition ∆ or proposition ◇ must be true, what can we conclude about proposition ◇?",Q is true,,,,,,,,,
rb_004_rule_removal_symbolic,rb_004,RB,Rule-Removal Drop (RB),symbolic,"In this system, y = ∆, 12 = ◇.
If 3y minus 7 equals 2y plus 5, what is the value of ∆?","In this system, y = ∆, 12 = ◇.
If 3y minus 7 equals 2y, what is the value of ∆?",12,,,,,,,,,
rb_023_rule_removal_symbolic,rb_023,RB,Rule-Removal Drop (RB),symbolic,"In this system, v = ∆, 18 = ◇.
What value of ∆ satisfies the equation ∆/3 - 2 = ∆/6 + 1?","In this system, v = ∆, 18 = ◇.
What value of ∆ satisfies the equation ∆/3 - 2 = ∆/6?",18,,,,,,,,,
rb_001_rule_removal_symbolic,rb_001,RB,Rule-Removal Drop (RB),symbolic,"In this system, x = ∆, 6 = ◇.
If two times a number plus three equals fifteen, what is the number?","In this system, x = ∆, 6 = ◇.
If two times a number plus three equals what value, and the number is [MASK]?",6,,auto_repaired;repair:answer_leak_removed,,,,,,,
rb_010_wrong_intermediate_natural,rb_010,RB,Wrong-Step Drop (RD),natural,"If five times the quantity of m minus 3 equals 20, what is the value of m?","If five times the quantity of m minus 3 equals 20, then m minus 3 equals 4, so m equals 1. Is this correct? What is the actual value of m?",7,"m - 3 = 4, so m = 1",,,,,,,,
rb_019_wrong_intermediate_natural,rb_019,RB,Wrong-Step Drop (RD),natural,"What is the next number in the sequence: 3, 7, 11, 15, 19, ...?","Consider the sequence: 3, 7, 11, 15, 19, ... The pattern adds 4 each time, so the next number is 19 + 4 = 24. Is this correct? What is the actual next number?",23,19 + 4 = 24,,,,,,,,
rb_012_wrong_intermediate_natural,rb_012,RB,Wrong-Step Drop (RD),natural,What value of p satisfies the equation p² - 9 = 0?,"Consider the equation p² - 9 = 0. If we factor this, we get (p - 3)(p + 3) = 0, which means p = 3. Is this reasoning correct? What value(s) of p actually satisfy the equation?",3 or -3,p = 3 (omitting the second solution p = -3),,,,,,,,
rb_020_wrong_intermediate_natural,rb_020,RB,Wrong-Step Drop (RD),natural,"If three times the quantity of k plus 4 equals two times the quantity of k plus 10, what is the value of k?","If three times the quantity of k plus 4 equals two times the quantity of k plus 10, then 3k + 12 = 2k + 20. Is this correct? What is the value of k?",8,3k + 12 = 2k + 20,,,,,,,,
rb_016_wrong_intermediate_natural,rb_016,RB,Wrong-Step Drop (RD),natural,"Given that 2x + 3y = 13 and x = 2, what is the value of y?","Given that 2x + 3y = 13 and x = 2, someone claims that substituting x = 2 gives 4 + 3y = 13, so 3y = 9, therefore y = 9. Is this correct? What is the actual value of y?",y=3,"3y = 9, therefore y = 9",,,,,,,,
rb_004_wrong_intermediate_symbolic,rb_004,RB,Wrong-Step Drop (RD),symbolic,"In this system, y = ∆, 12 = ◇.
If 3y minus 7 equals 2y plus 5, what is the value of ∆?","In this system, y = ∆, 12 = ◇.
If 3y minus 7 equals 2y plus 5, then ∆ equals 2. Is this correct? What is the actual value of ∆?",12,y = 2,,,,,,,,
rb_011_wrong_intermediate_symbolic,rb_011,RB,Wrong-Step Drop (RD),symbolic,"In this system, sequence = ∆, 13 = ◇.
In a Fibonacci-like ∆ where each term is the sum of the two preceding terms, and the ∆ begins 1, 1, 2, 3, 5, 8, what is the next term in the ∆?","In this system, sequence = ∆, 13 = ◇.
In a Fibonacci-like ∆ where each term is the sum of the two preceding terms, and the ∆ begins 1, 1, 2, 3, 5, 8, the next term would be 8 + 5 = 14. Is this correct? What is the actual next term?",13,8 + 5 = 14,,,,,,,,
rb_022_wrong_intermediate_symbolic,rb_022,RB,Wrong-Step Drop (RD),symbolic,"In this system, A = ∆, B = ◇, C = ⊕, C is true = Ω.
Given that proposition ∆ implies proposition ◇, proposition ◇ implies proposition ⊕, and proposition ∆ is true, what can we conclude about proposition ⊕?","In this system, A = ∆, B = ◇, C = ⊕, C is true = Ω.
Given that proposition ∆ implies proposition ◇, proposition ◇ implies proposition ⊕, and proposition ∆ is true. From ∆ being true and ∆ implies ◇, we can conclude that ◇ is false. Therefore, what can we conclude about proposition ⊕?",C is true,"From A being true and A implies B, we can conclude that B is false",,,,,,,,
rb_018_wrong_intermediate_symbolic,rb_018,RB,Wrong-Step Drop (RD),symbolic,"In this system, t = ∆, 10 = ◇.
Solve for ∆ in the equation: 4t - 12 = 2t + 8","In this system, t = ∆, 10 = ◇.
Solve for ∆ in the equation: 4t - 12 = 2t + 8. If we subtract 2t from both sides, we get 2t - 12 = 8. Is this correct? What is the value of ∆?",10,2t - 12 = 8,,,,,,,,
rb_003_wrong_intermediate_symbolic,rb_003,RB,Wrong-Step Drop (RD),symbolic,"In this system, P = ∆, Q = ◇, Q is true = ⊕.
Given that proposition ∆ implies proposition ◇, and proposition ∆ is true, what can we conclude about proposition ◇?","In this system, P = ∆, Q = ◇, Q is true = ⊕.
Given that proposition ∆ implies proposition ◇, and proposition ∆ is true, we can conclude that ◇ is false. Is this reasoning correct? What can we actually conclude about proposition ◇?",Q is true,Q is false,,,,,,,,
hybrid_018_explicit_fact_natural,hybrid_018,Hybrid,Bridge-Fact Gain (CP),natural,In what year did the author of The Lord of the Rings die?,The Lord of the Rings was written by J.R.R. Tolkien. In what year did J.R.R. Tolkien die?,1973,,,,,,,,,
hybrid_015_explicit_fact_natural,hybrid_015,Hybrid,Bridge-Fact Gain (CP),natural,What is the capital of the state where SpaceX is headquartered?,SpaceX is headquartered in California. What is the capital of California?,Sacramento,,,,,,,,,
hybrid_013_explicit_fact_natural,hybrid_013,Hybrid,Bridge-Fact Gain (CP),natural,What is the capital of the country where the Colosseum is located?,The Colosseum is located in Italy. What is the capital of Italy?,Rome,,,,,,,,,
hybrid_008_explicit_fact_natural,hybrid_008,Hybrid,Bridge-Fact Gain (CP),natural,What is the capital of the country where the Taj Mahal is located?,The Taj Mahal is located in India. What is the capital of India?,New Delhi,,,,,,,,,
hybrid_025_explicit_fact_natural,hybrid_025,Hybrid,Bridge-Fact Gain (CP),natural,What was the nationality of the artist who painted The Scream?,The Scream was painted by Edvard Munch. What was the nationality of Edvard Munch?,Norwegian,,,,,,,,,
hybrid_002_explicit_fact_symbolic,hybrid_002,Hybrid,Bridge-Fact Gain (CP),symbolic,"In this system, Mount Everest = ∆, Nepal = ◇, Nepali rupee = ⊕, located_in = Ω, currency = ★.
What is the ★ of the country where ∆ is located?","In this system, Mount Everest = ∆, Nepal = ◇, Nepali rupee = ⊕, located_in = Ω, currency = ★.
∆ is located in ◇. What is the ★ of ◇?",Nepali rupee,,,,,,,,,
hybrid_010_explicit_fact_symbolic,hybrid_010,Hybrid,Bridge-Fact Gain (CP),symbolic,"In this system, Statue of Liberty = ∆, France = ◇, Euro = ⊕, gift_from = Ω, currency = ★.
What is the ★ of the country that gifted the ∆?","In this system, Statue of Liberty = ∆, France = ◇, Euro = ⊕, gift_from = Ω, currency = ★.
The ∆ was a gift from ◇. What is the ★ of ◇?",Euro,,,,,,,,,
hybrid_013_explicit_fact_symbolic,hybrid_013,Hybrid,Bridge-Fact Gain (CP),symbolic,"In this system, Colosseum = ∆, Italy = ◇, Rome = ⊕, located_in = Ω, capital = ★.
What is the ★ of the country where the ∆ is located?","In this system, Colosseum = ∆, Italy = ◇, Rome = ⊕, located_in = Ω, capital = ★.
The ∆ is located in ◇. What is the ★ of ◇?",Rome,,,,,,,,,
hybrid_004_explicit_fact_symbolic,hybrid_004,Hybrid,Bridge-Fact Gain (CP),symbolic,"In this system, Mona Lisa = ∆, Leonardo da Vinci = ◇, 1519 = ⊕, painted_by = Ω, death_year = ★.
In what year did the artist who painted the ∆ die?","In this system, Mona Lisa = ∆, Leonardo da Vinci = ◇, 1519 = ⊕, painted_by = Ω, death_year = ★.
The ∆ was painted by ◇. In what year did ◇ die?",1519,,,,,,,,,
hybrid_024_explicit_fact_symbolic,hybrid_024,Hybrid,Bridge-Fact Gain (CP),symbolic,"In this system, Facebook = ∆, Mark Zuckerberg = ◇, 1984 = ⊕, founded_by = Ω, birth_year = ★.
What year was the founder of ∆ born?","In this system, Facebook = ∆, Mark Zuckerberg = ◇, 1984 = ⊕, founded_by = Ω, birth_year = ★.
∆ was founded by ◇. What year was ◇ born?",1984,,,,,,,,,
hybrid_023_retrieval_blocked_natural,hybrid_023,Hybrid,Retrieval-Block Drop (CB),natural,In what year did the author of Pride and Prejudice die?,"A beloved novel about the Bennet sisters and their romantic entanglements was written by a female author who lived in Hampshire, England. In what year did this author die?",1817,,,,,,,,,
hybrid_002_retrieval_blocked_natural,hybrid_002,Hybrid,Retrieval-Block Drop (CB),natural,What is the currency of the country where Mount Everest is located?,"What is the currency of the country where the world's tallest mountain is located? Note: This mountain is in a landlocked South Asian nation bordered by China and India, known for its Himalayan peaks and Sherpa culture.",Nepali rupee,,,,,,,,,
hybrid_004_retrieval_blocked_natural,hybrid_004,Hybrid,Retrieval-Block Drop (CB),natural,In what year did the artist who painted the Mona Lisa die?,A famous portrait of a woman with an enigmatic smile was painted by an Italian polymath who worked during the High Renaissance. This artist was also known for his scientific drawings and inventions. In what year did this artist die?,1519,,,,,,,,,
hybrid_013_retrieval_blocked_natural,hybrid_013,Hybrid,Retrieval-Block Drop (CB),natural,What is the capital of the country where the Colosseum is located?,A famous ancient amphitheater is in a Southern European country known for pasta and pizza. What is the capital?,Rome,,,,,,,,,
hybrid_014_retrieval_blocked_natural,hybrid_014,Hybrid,Retrieval-Block Drop (CB),natural,In what year did the author of 1984 die?,A dystopian novel about Big Brother and thoughtcrime was written by an English author who used a pen name. This author passed away in the mid-20th century. In what year did this author die?,1950,,,,,,,,,
hybrid_024_retrieval_blocked_symbolic,hybrid_024,Hybrid,Retrieval-Block Drop (CB),symbolic,"In this system, Facebook = ∆, Mark Zuckerberg = ◇, 1984 = ⊕, founded_by = Ω, birth_year = ★.
What year was the founder of ∆ born?","In this system, Facebook = ∆, Mark Zuckerberg = ◇, 1984 = ⊕, founded_by = Ω, birth_year = ★.
A social media platform with a blue logo was created by someone born in the same year that Apple released the Macintosh computer and the Los Angeles Olympics were held. What year was this founder born?",1984,,,,,,,,,
hybrid_015_retrieval_blocked_symbolic,hybrid_015,Hybrid,Retrieval-Block Drop (CB),symbolic,"In this system, SpaceX = ∆, California = ◇, Sacramento = ⊕, headquartered_in = Ω, capital = ★.
What is the ★ of the state where ∆ is headquartered?","In this system, SpaceX = ∆, California = ◇, Sacramento = ⊕, headquartered_in = Ω, capital = ★.
A private aerospace company founded by a tech billionaire operates from a state on the West Coast known for Hollywood and Silicon Valley. What is the ★ of that state?",Sacramento,,,,,,,,,
hybrid_020_retrieval_blocked_symbolic,hybrid_020,Hybrid,Retrieval-Block Drop (CB),symbolic,"In this system, Sydney Opera House = ∆, Australia = ◇, Canberra = ⊕, located_in = Ω, capital = ★.
What is the ★ of the country where the ∆ is located?","In this system, Sydney Opera House = ∆, Australia = ◇, Canberra = ⊕, located_in = Ω, capital = ★.
A famous shell-shaped performing arts venue is located in a country's largest city, a harbor metropolis known for its bridge. What is the ★?",Canberra,,,,,,,,,
hybrid_006_retrieval_blocked_symbolic,hybrid_006,Hybrid,Retrieval-Block Drop (CB),symbolic,"In this system, The Beatles = ∆, Liverpool = ◇, England = ⊕, formed_in = Ω, country = ★.
In which ★ was ∆ formed?","In this system, The Beatles = ∆, Liverpool = ◇, England = ⊕, formed_in = Ω, country = ★.
A legendary rock band that revolutionized popular music was formed in a major port city in a ★ that shares an island with Scotland and Wales. In which ★ was this band formed?",England,,,,,,,,,
hybrid_023_retrieval_blocked_symbolic,hybrid_023,Hybrid,Retrieval-Block Drop (CB),symbolic,"In this system, Pride and Prejudice = ∆, Jane Austen = ◇, 1817 = ⊕, written_by = Ω, death_year = ★.
In what year did the author of ∆ die?","In this system, Pride and Prejudice = ∆, Jane Austen = ◇, 1817 = ⊕, written_by = Ω, death_year = ★.
A beloved novel about the Bennet sisters and their romantic entanglements was written by a female author who lived in Hampshire, England. In what year did this author die?",1817,,,,,,,,,
PLACEHOLDER_Wrong-Bridge Drop (CD)_0,,Hybrid,Wrong-Bridge Drop (CD),,,,,,AWAITING_GENERATION,,,,,,,
PLACEHOLDER_Wrong-Bridge Drop (CD)_1,,Hybrid,Wrong-Bridge Drop (CD),,,,,,AWAITING_GENERATION,,,,,,,
PLACEHOLDER_Wrong-Bridge Drop (CD)_2,,Hybrid,Wrong-Bridge Drop (CD),,,,,,AWAITING_GENERATION,,,,,,,
PLACEHOLDER_Wrong-Bridge Drop (CD)_3,,Hybrid,Wrong-Bridge Drop (CD),,,,,,AWAITING_GENERATION,,,,,,,
PLACEHOLDER_Wrong-Bridge Drop (CD)_4,,Hybrid,Wrong-Bridge Drop (CD),,,,,,AWAITING_GENERATION,,,,,,,
PLACEHOLDER_Wrong-Bridge Drop (CD)_5,,Hybrid,Wrong-Bridge Drop (CD),,,,,,AWAITING_GENERATION,,,,,,,
PLACEHOLDER_Wrong-Bridge Drop (CD)_6,,Hybrid,Wrong-Bridge Drop (CD),,,,,,AWAITING_GENERATION,,,,,,,
PLACEHOLDER_Wrong-Bridge Drop (CD)_7,,Hybrid,Wrong-Bridge Drop (CD),,,,,,AWAITING_GENERATION,,,,,,,
