dataset,label_name,split_name,train_dataset,test_dataset,feature_mode,position,best_layer,hidden_f1,train_pos,train_neg,test_pos,test_neg,is_delta_feature,source_summary_path
gpt_test,removal_dependent,block::train_KB_RB__test_Hybrid,gpt_test,gpt_test,absolute::h_original,pre_answer,1,0.6662958843159066,62,58,34,26,False,outputs/first_pass_probing/gpt_test/pre_answer/absolute::h_original/removal_dependent/block::train_KB_RB__test_Hybrid/summary.json
gpt_test,removal_dependent,held_out_sub_family::,gpt_test,gpt_test,absolute::h_original,pre_answer,1,0.6662958843159066,62,58,34,26,False,outputs/first_pass_probing/gpt_test/pre_answer/absolute::h_original/removal_dependent/held_out_sub_family::/summary.json
gpt_test,wrong_claim_susceptible,realization::train_symbolic__test_natural,gpt_test,gpt_test,absolute::h_original,final_input,18,0.6625000000000001,25,65,12,78,False,outputs/first_pass_probing/gpt_test/final_input/absolute::h_original/wrong_claim_susceptible/realization::train_symbolic__test_natural/summary.json
gpt_test,removal_dependent,block::train_KB__test_Hybrid,gpt_test,gpt_test,absolute::h_original,final_input,3,0.6622222222222223,41,19,34,26,False,outputs/first_pass_probing/gpt_test/final_input/absolute::h_original/removal_dependent/block::train_KB__test_Hybrid/summary.json
gpt_test,removal_dependent,block::train_RB__test_Hybrid,gpt_test,gpt_test,absolute::h_original,pre_answer,2,0.6571428571428571,21,39,34,26,False,outputs/first_pass_probing/gpt_test/pre_answer/absolute::h_original/removal_dependent/block::train_RB__test_Hybrid/summary.json
probe_ready,wrong_claim_susceptible,block::train_KB_RB__test_Hybrid,probe_ready,probe_ready,absolute::h_original,pre_answer,29,0.6444444444444444,38,82,10,50,False,outputs/first_pass_probing/probe_ready/pre_answer/absolute::h_original/wrong_claim_susceptible/block::train_KB_RB__test_Hybrid/summary.json
gpt_test,removal_dependent,realization::train_symbolic__test_natural,gpt_test,gpt_test,absolute::h_original,pre_answer,1,0.6321981424148607,59,31,37,53,False,outputs/first_pass_probing/gpt_test/pre_answer/absolute::h_original/removal_dependent/realization::train_symbolic__test_natural/summary.json
cross_dataset_transfer_v2,removal_dependent,train_gpt_test__test_probe_ready::removal_dependent::final_input,gpt_test,probe_ready,absolute::h_original,final_input,1,0.6283870967741936,96,84,20,160,False,outputs/first_pass_probing/cross_dataset_transfer_v2/final_input/absolute::h_original/removal_dependent/train_gpt_test__test_probe_ready::removal_dependent::final_input/summary.json
probe_ready,wrong_claim_susceptible,block::train_RB__test_Hybrid,probe_ready,probe_ready,absolute::h_original,pre_answer,8,0.625,21,39,10,50,False,outputs/first_pass_probing/probe_ready/pre_answer/absolute::h_original/wrong_claim_susceptible/block::train_RB__test_Hybrid/summary.json
probe_ready,wrong_claim_susceptible,realization::train_symbolic__test_natural,probe_ready,probe_ready,absolute::h_original,final_input,4,0.6091889620395013,16,74,32,58,False,outputs/first_pass_probing/probe_ready/final_input/absolute::h_original/wrong_claim_susceptible/realization::train_symbolic__test_natural/summary.json
cross_dataset_transfer_v2,wrong_claim_susceptible,train_gpt_test__test_probe_ready::wrong_claim_susceptible::final_input,gpt_test,probe_ready,absolute::h_original,final_input,8,0.5978205479989025,37,143,48,132,False,outputs/first_pass_probing/cross_dataset_transfer_v2/final_input/absolute::h_original/wrong_claim_susceptible/train_gpt_test__test_probe_ready::wrong_claim_susceptible::final_input/summary.json
cross_dataset_transfer_v2,wrong_claim_susceptible,train_probe_ready__test_gpt_test::wrong_claim_susceptible::pre_answer,probe_ready,gpt_test,absolute::h_original,pre_answer,0,0.5963494132985658,48,132,37,143,False,outputs/first_pass_probing/cross_dataset_transfer_v2/pre_answer/absolute::h_original/wrong_claim_susceptible/train_probe_ready__test_gpt_test::wrong_claim_susceptible::pre_answer/summary.json
cross_dataset_transfer_v2,removal_dependent,train_gpt_test__test_probe_ready::removal_dependent::pre_answer,gpt_test,probe_ready,absolute::h_original,pre_answer,16,0.5906389846673025,96,84,20,160,False,outputs/first_pass_probing/cross_dataset_transfer_v2/pre_answer/absolute::h_original/removal_dependent/train_gpt_test__test_probe_ready::removal_dependent::pre_answer/summary.json
probe_ready,wrong_claim_susceptible,block::train_KB__test_RB,probe_ready,probe_ready,absolute::h_original,final_input,35,0.5885714285714285,17,43,21,39,False,outputs/first_pass_probing/probe_ready/final_input/absolute::h_original/wrong_claim_susceptible/block::train_KB__test_RB/summary.json
probe_ready,wrong_claim_susceptible,block::train_KB__test_Hybrid,probe_ready,probe_ready,absolute::h_original,final_input,1,0.580952380952381,17,43,10,50,False,outputs/first_pass_probing/probe_ready/final_input/absolute::h_original/wrong_claim_susceptible/block::train_KB__test_Hybrid/summary.json
cross_dataset_transfer_v2,wrong_claim_susceptible,train_gpt_test__test_probe_ready::wrong_claim_susceptible::pre_answer,gpt_test,probe_ready,absolute::h_original,pre_answer,10,0.5744680851063829,37,143,48,132,False,outputs/first_pass_probing/cross_dataset_transfer_v2/pre_answer/absolute::h_original/wrong_claim_susceptible/train_gpt_test__test_probe_ready::wrong_claim_susceptible::pre_answer/summary.json
probe_ready,wrong_claim_susceptible,realization::train_symbolic__test_natural,probe_ready,probe_ready,absolute::h_original,pre_answer,21,0.5502645502645502,16,74,32,58,False,outputs/first_pass_probing/probe_ready/pre_answer/absolute::h_original/wrong_claim_susceptible/realization::train_symbolic__test_natural/summary.json
cross_dataset_transfer_v2,wrong_claim_susceptible,train_probe_ready__test_gpt_test::wrong_claim_susceptible::final_input,probe_ready,gpt_test,absolute::h_original,final_input,15,0.5432692307692307,48,132,37,143,False,outputs/first_pass_probing/cross_dataset_transfer_v2/final_input/absolute::h_original/wrong_claim_susceptible/train_probe_ready__test_gpt_test::wrong_claim_susceptible::final_input/summary.json
probe_ready,wrong_claim_susceptible,block::train_KB__test_Hybrid,probe_ready,probe_ready,absolute::h_original,pre_answer,35,0.5361344537815126,17,43,10,50,False,outputs/first_pass_probing/probe_ready/pre_answer/absolute::h_original/wrong_claim_susceptible/block::train_KB__test_Hybrid/summary.json
probe_ready,wrong_claim_susceptible,realization::train_natural__test_symbolic,probe_ready,probe_ready,absolute::h_original,final_input,25,0.5341614906832298,32,58,16,74,False,outputs/first_pass_probing/probe_ready/final_input/absolute::h_original/wrong_claim_susceptible/realization::train_natural__test_symbolic/summary.json
probe_ready,wrong_claim_susceptible,block::train_KB_RB__test_Hybrid,probe_ready,probe_ready,absolute::h_original,final_input,20,0.511559752523608,38,82,10,50,False,outputs/first_pass_probing/probe_ready/final_input/absolute::h_original/wrong_claim_susceptible/block::train_KB_RB__test_Hybrid/summary.json
probe_ready,wrong_claim_susceptible,block::train_KB__test_RB,probe_ready,probe_ready,absolute::h_original,pre_answer,28,0.4998456313677061,17,43,21,39,False,outputs/first_pass_probing/probe_ready/pre_answer/absolute::h_original/wrong_claim_susceptible/block::train_KB__test_RB/summary.json
gpt_test,removal_dependent,block::train_KB__test_RB,gpt_test,gpt_test,absolute::h_original,pre_answer,18,0.4957983193277311,41,19,21,39,False,outputs/first_pass_probing/gpt_test/pre_answer/absolute::h_original/removal_dependent/block::train_KB__test_RB/summary.json
gpt_test,wrong_claim_susceptible,realization::train_symbolic__test_natural,gpt_test,gpt_test,absolute::h_original,pre_answer,32,0.4642857142857143,25,65,12,78,False,outputs/first_pass_probing/gpt_test/pre_answer/absolute::h_original/wrong_claim_susceptible/realization::train_symbolic__test_natural/summary.json
probe_ready,wrong_claim_susceptible,realization::train_natural__test_symbolic,probe_ready,probe_ready,absolute::h_original,pre_answer,6,0.451219512195122,32,58,16,74,False,outputs/first_pass_probing/probe_ready/pre_answer/absolute::h_original/wrong_claim_susceptible/realization::train_natural__test_symbolic/summary.json
gpt_test,removal_dependent,block::train_KB__test_RB,gpt_test,gpt_test,absolute::h_original,final_input,22,0.44984717977215893,41,19,21,39,False,outputs/first_pass_probing/gpt_test/final_input/absolute::h_original/removal_dependent/block::train_KB__test_RB/summary.json
gpt_test,wrong_claim_susceptible,realization::train_natural__test_symbolic,gpt_test,gpt_test,absolute::h_original,pre_answer,35,0.4078947368421052,12,78,25,65,False,outputs/first_pass_probing/gpt_test/pre_answer/absolute::h_original/wrong_claim_susceptible/realization::train_natural__test_symbolic/summary.json
